record_id,source,doi,wavelength_nm,absorption_per_m,uncertainty_per_m,temperature_C,medium,measurement_method,source_table,source_role,quality_flag,permitted_use,notes
MASON-2016-001,Mason_Cone_Fry_2016,10.1364/AO.55.007163,250,0.058710,0.017790,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-002,Mason_Cone_Fry_2016,10.1364/AO.55.007163,260,0.051500,0.012440,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-003,Mason_Cone_Fry_2016,10.1364/AO.55.007163,270,0.043570,0.008190,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-004,Mason_Cone_Fry_2016,10.1364/AO.55.007163,280,0.022300,0.003340,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-005,Mason_Cone_Fry_2016,10.1364/AO.55.007163,290,0.009390,0.002000,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-006,Mason_Cone_Fry_2016,10.1364/AO.55.007163,300,0.004670,0.000960,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-007,Mason_Cone_Fry_2016,10.1364/AO.55.007163,302,0.004330,0.001180,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-008,Mason_Cone_Fry_2016,10.1364/AO.55.007163,304,0.003560,0.000870,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-009,Mason_Cone_Fry_2016,10.1364/AO.55.007163,306,0.003130,0.000750,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-010,Mason_Cone_Fry_2016,10.1364/AO.55.007163,308,0.002750,0.000780,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-011,Mason_Cone_Fry_2016,10.1364/AO.55.007163,310,0.002360,0.000640,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-012,Mason_Cone_Fry_2016,10.1364/AO.55.007163,312,0.002050,0.000610,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-013,Mason_Cone_Fry_2016,10.1364/AO.55.007163,314,0.001850,0.000470,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-014,Mason_Cone_Fry_2016,10.1364/AO.55.007163,316,0.001760,0.000540,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-015,Mason_Cone_Fry_2016,10.1364/AO.55.007163,318,0.001630,0.000450,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-016,Mason_Cone_Fry_2016,10.1364/AO.55.007163,320,0.001470,0.000390,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-017,Mason_Cone_Fry_2016,10.1364/AO.55.007163,322,0.001330,0.000350,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-018,Mason_Cone_Fry_2016,10.1364/AO.55.007163,324,0.001240,0.000390,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-019,Mason_Cone_Fry_2016,10.1364/AO.55.007163,326,0.001180,0.000420,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-020,Mason_Cone_Fry_2016,10.1364/AO.55.007163,328,0.001120,0.000400,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-021,Mason_Cone_Fry_2016,10.1364/AO.55.007163,330,0.001070,0.000420,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-022,Mason_Cone_Fry_2016,10.1364/AO.55.007163,332,0.001010,0.000370,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-023,Mason_Cone_Fry_2016,10.1364/AO.55.007163,334,0.000990,0.000370,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-024,Mason_Cone_Fry_2016,10.1364/AO.55.007163,336,0.000950,0.000310,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-025,Mason_Cone_Fry_2016,10.1364/AO.55.007163,338,0.000910,0.000300,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-026,Mason_Cone_Fry_2016,10.1364/AO.55.007163,340,0.000850,0.000260,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-027,Mason_Cone_Fry_2016,10.1364/AO.55.007163,342,0.000820,0.000230,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-028,Mason_Cone_Fry_2016,10.1364/AO.55.007163,344,0.000810,0.000230,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-029,Mason_Cone_Fry_2016,10.1364/AO.55.007163,346,0.000820,0.000230,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-030,Mason_Cone_Fry_2016,10.1364/AO.55.007163,348,0.000840,0.000290,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-031,Mason_Cone_Fry_2016,10.1364/AO.55.007163,350,0.000890,0.000330,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-032,Mason_Cone_Fry_2016,10.1364/AO.55.007163,352,0.000940,0.000360,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-033,Mason_Cone_Fry_2016,10.1364/AO.55.007163,354,0.000970,0.000340,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-034,Mason_Cone_Fry_2016,10.1364/AO.55.007163,356,0.000980,0.000320,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-035,Mason_Cone_Fry_2016,10.1364/AO.55.007163,358,0.000990,0.000310,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-036,Mason_Cone_Fry_2016,10.1364/AO.55.007163,360,0.001060,0.000330,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-037,Mason_Cone_Fry_2016,10.1364/AO.55.007163,362,0.001150,0.000350,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-038,Mason_Cone_Fry_2016,10.1364/AO.55.007163,364,0.001200,0.000350,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-039,Mason_Cone_Fry_2016,10.1364/AO.55.007163,366,0.001210,0.000320,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-040,Mason_Cone_Fry_2016,10.1364/AO.55.007163,368,0.001220,0.000320,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-041,Mason_Cone_Fry_2016,10.1364/AO.55.007163,370,0.001240,0.000330,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-042,Mason_Cone_Fry_2016,10.1364/AO.55.007163,372,0.001270,0.000340,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-043,Mason_Cone_Fry_2016,10.1364/AO.55.007163,374,0.001290,0.000330,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-044,Mason_Cone_Fry_2016,10.1364/AO.55.007163,376,0.001330,0.000310,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-045,Mason_Cone_Fry_2016,10.1364/AO.55.007163,378,0.001370,0.000290,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-046,Mason_Cone_Fry_2016,10.1364/AO.55.007163,380,0.001430,0.000290,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-047,Mason_Cone_Fry_2016,10.1364/AO.55.007163,382,0.001470,0.000280,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-048,Mason_Cone_Fry_2016,10.1364/AO.55.007163,384,0.001510,0.000290,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
MASON-2016-049,Mason_Cone_Fry_2016,10.1364/AO.55.007163,386,0.001550,0.000290,23 ± 0.5,pure_water,ICAM-II_scattering-independent_integrating_cavity,Table_2,primary_experimental_dataset,source_reported,absorption_only,Table values converted from ×10^-3 m^-1 to m^-1; no interpolation; does not provide scattering or total attenuation.
