dataset_id,wavelength_nm,property_symbol,property_name,value_per_m,uncertainty_per_m,error_percent,optical_property_class,medium,temperature_C,salinity_PSU,measurement_method,source_type,uncertainty_reported,study01_usable,use_scope,research_verdict,citation,doi,source_url,notes
OPD-001,340,a,absorption_coefficient,0.0325,0.0014,4,inherent,pure_water,25,0,photothermal_deflection_spectroscopy,measured,yes,yes,absorption_only,Keep,"Sogandares, F. M.; Fry, E. S. (1997). Absorption spectrum (340–640 nm) of pure water. I. Photothermal measurements. Applied Optics, 36(33), 8699–8709.",10.1364/AO.36.008699,https://opg.optica.org/ao/abstract.cfm?uri=ao-36-33-8699,"Source-reported value; no interpolation. Does not provide scattering or total attenuation."
OPD-001,350,a,absorption_coefficient,0.0204,0.0027,13,inherent,pure_water,25,0,photothermal_deflection_spectroscopy,measured,yes,yes,absorption_only,Keep,"Sogandares, F. M.; Fry, E. S. (1997). Absorption spectrum (340–640 nm) of pure water. I. Photothermal measurements. Applied Optics, 36(33), 8699–8709.",10.1364/AO.36.008699,https://opg.optica.org/ao/abstract.cfm?uri=ao-36-33-8699,"Source-reported value; no interpolation. Does not provide scattering or total attenuation."
OPD-001,360,a,absorption_coefficient,0.0156,0.0021,14,inherent,pure_water,25,0,photothermal_deflection_spectroscopy,measured,yes,yes,absorption_only,Keep,"Sogandares, F. M.; Fry, E. S. (1997). Absorption spectrum (340–640 nm) of pure water. I. Photothermal measurements. Applied Optics, 36(33), 8699–8709.",10.1364/AO.36.008699,https://opg.optica.org/ao/abstract.cfm?uri=ao-36-33-8699,"Source-reported value; no interpolation. Does not provide scattering or total attenuation."
OPD-001,370,a,absorption_coefficient,0.0114,0.0031,28,inherent,pure_water,25,0,photothermal_deflection_spectroscopy,measured,yes,yes,absorption_only,Keep,"Sogandares, F. M.; Fry, E. S. (1997). Absorption spectrum (340–640 nm) of pure water. I. Photothermal measurements. Applied Optics, 36(33), 8699–8709.",10.1364/AO.36.008699,https://opg.optica.org/ao/abstract.cfm?uri=ao-36-33-8699,"Source-reported value; no interpolation. Does not provide scattering or total attenuation."
OPD-001,380,a,absorption_coefficient,0.0100,0.0009,9,inherent,pure_water,25,0,photothermal_deflection_spectroscopy,measured,yes,yes,absorption_only,Keep,"Sogandares, F. M.; Fry, E. S. (1997). Absorption spectrum (340–640 nm) of pure water. I. Photothermal measurements. Applied Optics, 36(33), 8699–8709.",10.1364/AO.36.008699,https://opg.optica.org/ao/abstract.cfm?uri=ao-36-33-8699,"Source-reported value; no interpolation. Does not provide scattering or total attenuation."
OPD-001,390,a,absorption_coefficient,0.0088,0.0011,12,inherent,pure_water,25,0,photothermal_deflection_spectroscopy,measured,yes,yes,absorption_only,Keep,"Sogandares, F. M.; Fry, E. S. (1997). Absorption spectrum (340–640 nm) of pure water. I. Photothermal measurements. Applied Optics, 36(33), 8699–8709.",10.1364/AO.36.008699,https://opg.optica.org/ao/abstract.cfm?uri=ao-36-33-8699,"Source-reported value; no interpolation. Does not provide scattering or total attenuation."
OPD-001,400,a,absorption_coefficient,0.0087,0.0009,11,inherent,pure_water,25,0,photothermal_deflection_spectroscopy,measured,yes,yes,absorption_only,Keep,"Sogandares, F. M.; Fry, E. S. (1997). Absorption spectrum (340–640 nm) of pure water. I. Photothermal measurements. Applied Optics, 36(33), 8699–8709.",10.1364/AO.36.008699,https://opg.optica.org/ao/abstract.cfm?uri=ao-36-33-8699,"Source-reported value; no interpolation. Does not provide scattering or total attenuation."
OPD-001,410,a,absorption_coefficient,0.0063,0.0008,12,inherent,pure_water,25,0,photothermal_deflection_spectroscopy,measured,yes,yes,absorption_only,Keep,"Sogandares, F. M.; Fry, E. S. (1997). Absorption spectrum (340–640 nm) of pure water. I. Photothermal measurements. Applied Optics, 36(33), 8699–8709.",10.1364/AO.36.008699,https://opg.optica.org/ao/abstract.cfm?uri=ao-36-33-8699,"Source-reported value; no interpolation. Does not provide scattering or total attenuation."
OPD-001,420,a,absorption_coefficient,0.0062,0.0006,10,inherent,pure_water,25,0,photothermal_deflection_spectroscopy,measured,yes,yes,absorption_only,Keep,"Sogandares, F. M.; Fry, E. S. (1997). Absorption spectrum (340–640 nm) of pure water. I. Photothermal measurements. Applied Optics, 36(33), 8699–8709.",10.1364/AO.36.008699,https://opg.optica.org/ao/abstract.cfm?uri=ao-36-33-8699,"Reported absorption minimum at 420 nm and 25 °C; source-reported value; no interpolation."
OPD-001,430,a,absorption_coefficient,0.0064,0.0012,19,inherent,pure_water,25,0,photothermal_deflection_spectroscopy,measured,yes,yes,absorption_only,Keep,"Sogandares, F. M.; Fry, E. S. (1997). Absorption spectrum (340–640 nm) of pure water. I. Photothermal measurements. Applied Optics, 36(33), 8699–8709.",10.1364/AO.36.008699,https://opg.optica.org/ao/abstract.cfm?uri=ao-36-33-8699,"Source-reported value; no interpolation. Does not provide scattering or total attenuation."
