wavelength_nm,absorption_per_m,absorption_uncertainty_per_m,scattering_per_m,scattering_uncertainty_per_m,attenuation_per_m,combined_uncertainty_per_m,relative_attenuation_uncertainty,attenuation_lower_per_m,attenuation_upper_per_m,attenuation_length_m,attenuation_length_uncertainty_m,half_power_distance_m,half_power_distance_uncertainty_m,scattering_relative_uncertainty_assumption
350.0,8.900000000000e-04,3.300000000000e-04,8.999596205244e-03,1.799919241049e-04,9.889596205244e-03,3.758950554915e-04,0.038009141,9.513701149752e-03,1.026549126074e-02,101.116363019,3.843346088,70.088521935,2.664004505,0.020000
352.0,9.400000000000e-04,3.600000000000e-04,8.776301458359e-03,1.755260291672e-04,9.716301458359e-03,4.005114067230e-04,0.041220562,9.315790051636e-03,1.011681286508e-02,102.919820292,4.242412834,71.338583259,2.940616495,0.020000
354.0,9.700000000000e-04,3.400000000000e-04,8.560050616577e-03,1.712010123315e-04,9.530050616577e-03,3.806701808959e-04,0.039944193,9.149380435681e-03,9.910720797473e-03,104.931237014,4.191393580,72.732791089,2.905252643,0.020000
356.0,9.800000000000e-04,3.200000000000e-04,8.350572014292e-03,1.670114402858e-04,9.330572014292e-03,3.609609690622e-04,0.038685835,8.969611045230e-03,9.691532983354e-03,107.174565339,4.146137547,74.287747793,2.873883551,0.020000
358.0,9.900000000000e-04,3.100000000000e-04,8.147606428434e-03,1.629521285687e-04,9.137606428434e-03,3.502190688770e-04,0.038327222,8.787387359557e-03,9.487825497311e-03,109.437849817,4.194448750,75.856537047,2.907370325,0.020000
360.0,1.060000000000e-03,3.300000000000e-04,7.950906417364e-03,1.590181283473e-04,9.010906417364e-03,3.663151172735e-04,0.040652416,8.644591300091e-03,9.377221534637e-03,110.976626954,4.511468018,76.923136081,3.127111337,0.020000
362.0,1.150000000000e-03,3.500000000000e-04,7.760235699738e-03,1.552047139948e-04,8.910235699738e-03,3.828687807150e-04,0.042969546,8.527366919023e-03,9.293104480453e-03,112.230476690,4.822492605,77.792238490,3.342697152,0.020000
364.0,1.200000000000e-03,3.500000000000e-04,7.575368570623e-03,1.515073714125e-04,8.775368570623e-03,3.813849545962e-04,0.043460847,8.393983616027e-03,9.156753525219e-03,113.955327569,4.952595105,78.987814014,3.432877334,0.020000
366.0,1.210000000000e-03,3.200000000000e-04,7.396089352376e-03,1.479217870475e-04,8.606089352376e-03,3.525348990998e-04,0.040963425,8.253554453276e-03,8.958624251476e-03,116.196794973,4.759818742,80.541480826,3.299254941,0.020000
368.0,1.220000000000e-03,3.200000000000e-04,7.222191877956e-03,1.444438375591e-04,8.442191877956e-03,3.510897637483e-04,0.041587513,8.091102114208e-03,8.793281641704e-03,118.452650029,4.926151113,82.105120398,3.414547755,0.020000
370.0,1.240000000000e-03,3.300000000000e-04,7.053479004540e-03,1.410695800908e-04,8.293479004540e-03,3.588880416328e-04,0.043273521,7.934590962907e-03,8.652367046173e-03,120.576660223,5.217776693,83.577372075,3.616687204,0.020000
372.0,1.270000000000e-03,3.400000000000e-04,6.889762155435e-03,1.377952431087e-04,8.159762155435e-03,3.668617301156e-04,0.044959856,7.792900425319e-03,8.526623885551e-03,122.552591724,5.509946856,84.946983424,3.819204128,0.020000
374.0,1.290000000000e-03,3.300000000000e-04,6.730860888458e-03,1.346172177692e-04,8.020860888458e-03,3.564011718835e-04,0.044434279,7.664459716575e-03,8.377262060341e-03,124.674896362,5.539839150,86.418052900,3.839923888,0.020000
376.0,1.330000000000e-03,3.100000000000e-04,6.576602489062e-03,1.315320497812e-04,7.906602489062e-03,3.367501746394e-04,0.042591009,7.569852314423e-03,8.243352663701e-03,126.476574658,5.386764879,87.666881131,3.733820889,0.020000
378.0,1.370000000000e-03,2.900000000000e-04,6.426821586622e-03,1.285364317324e-04,7.796821586622e-03,3.172091018280e-04,0.040684412,7.479612484794e-03,8.114030688450e-03,128.257391668,5.218076566,88.901249421,3.616895060,0.020000
380.0,1.430000000000e-03,2.900000000000e-04,6.281359792400e-03,1.256271958480e-04,7.711359792400e-03,3.160414408533e-04,0.040983880,7.395318351547e-03,8.027401233253e-03,129.678815011,5.314740934,89.886505003,3.683897694,0.020000
382.0,1.470000000000e-03,2.800000000000e-04,6.140065357832e-03,1.228013071566e-04,7.610065357832e-03,3.057452551380e-04,0.040176430,7.304320102694e-03,7.915810612970e-03,131.404916118,5.279380362,91.082947119,3.659387613,0.020000
384.0,1.510000000000e-03,2.900000000000e-04,6.002792851830e-03,1.200558570366e-04,7.512792851830e-03,3.138684578112e-04,0.041777867,7.198924394019e-03,7.826661309641e-03,133.106292124,5.560896920,92.262251100,3.854520022,0.020000
386.0,1.550000000000e-03,2.900000000000e-04,5.869402855952e-03,1.173880571190e-04,7.419402855952e-03,3.128577247795e-04,0.042167507,7.106545131173e-03,7.732260580731e-03,134.781736403,5.683409866,93.423580579,3.939439525,0.020000
388.0,1.620000000000e-03,3.100000000000e-04,5.739761676293e-03,1.147952335259e-04,7.359761676293e-03,3.305721489180e-04,0.044916149,7.029189527375e-03,7.690333825211e-03,135.873964944,6.102935197,94.180655712,4.230232325,0.020000
390.0,1.700000000000e-03,3.000000000000e-04,5.613741071094e-03,1.122748214219e-04,7.313741071094e-03,3.203211443619e-04,0.043797168,6.993419926732e-03,7.634062215456e-03,136.728931238,5.988339934,94.773273188,4.150800941,0.020000
392.0,1.750000000000e-03,2.900000000000e-04,5.491217993107e-03,1.098243598621e-04,7.241217993107e-03,3.100990003517e-04,0.042824149,6.931118992755e-03,7.551316993459e-03,138.098314531,5.913942838,95.722457357,4.099232804,0.020000
394.0,1.850000000000e-03,2.800000000000e-04,5.372074345802e-03,1.074414869160e-04,7.222074345802e-03,2.999061071581e-04,0.041526311,6.922168238644e-03,7.521980452960e-03,138.464373547,5.749914673,95.976190132,3.985537144,0.020000
396.0,1.960000000000e-03,2.800000000000e-04,5.256196752604e-03,1.051239350521e-04,7.216196752604e-03,2.990836701006e-04,0.041446163,6.917113082503e-03,7.515280422705e-03,138.577152797,5.743491325,96.054362751,3.981084819,0.020000
398.0,2.080000000000e-03,2.800000000000e-04,5.143476338366e-03,1.028695267673e-04,7.223476338366e-03,2.982987420981e-04,0.041295732,6.925177596268e-03,7.521775080464e-03,138.437499226,5.716877850,95.957562272,3.962637763,0.020000
400.0,2.220000000000e-03,2.700000000000e-04,5.033808522356e-03,1.006761704471e-04,7.253808522356e-03,2.881591423084e-04,0.039725220,6.965649380048e-03,7.541967664664e-03,137.858615501,5.476463885,95.556310650,3.795995501,0.020000
402.0,2.370000000000e-03,2.700000000000e-04,4.927092822081e-03,9.854185644162e-05,7.297092822081e-03,2.874204193702e-04,0.039388346,7.009672402711e-03,7.584513241451e-03,137.040877015,5.397813527,94.989497525,3.741479227,0.020000
404.0,2.480000000000e-03,2.800000000000e-04,4.823232667298e-03,9.646465334596e-05,7.303232667298e-03,2.961510245553e-04,0.040550676,7.007081642743e-03,7.599383691853e-03,136.925666421,5.552428390,94.909639626,3.848650084,0.020000
406.0,2.570000000000e-03,2.900000000000e-04,4.722135223641e-03,9.444270447282e-05,7.292135223641e-03,3.049908595813e-04,0.041824630,6.987144364060e-03,7.597126083222e-03,137.134045013,5.735580730,95.054076660,3.975601612,0.020000
408.0,2.590000000000e-03,3.100000000000e-04,4.623711225286e-03,9.247422450572e-05,7.213711225286e-03,3.234988132867e-04,0.044844991,6.890212411999e-03,7.537210038573e-03,138.624900383,6.216632378,96.087458856,4.309041205,0.020000
410.0,2.660000000000e-03,3.200000000000e-04,4.527874816150e-03,9.055749632300e-05,7.187874816150e-03,3.325667754606e-04,0.046267747,6.855308040689e-03,7.520441591611e-03,139.123179741,6.436916121,96.432839788,4.461730261,0.020000
412.0,2.710000000000e-03,2.900000000000e-04,4.434543399123e-03,8.869086798246e-05,7.144543399123e-03,3.032590807601e-04,0.042446251,6.841284318363e-03,7.447802479883e-03,139.966957178,5.941072564,97.017701739,4.118037697,0.020000
414.0,2.800000000000e-03,2.900000000000e-04,4.343637492892e-03,8.687274985784e-05,7.143637492892e-03,3.027323482350e-04,0.042377899,6.840905144657e-03,7.446369841127e-03,139.984706810,5.932257768,97.030004847,4.111927746,0.020000
416.0,2.880000000000e-03,3.000000000000e-04,4.255080595916e-03,8.510161191832e-05,7.135080595916e-03,3.118369515486e-04,0.043704755,6.823243644367e-03,7.446917547465e-03,140.152586443,6.125334496,97.146370141,4.245758336,0.020000
418.0,3.000000000000e-03,3.100000000000e-04,4.168799057154e-03,8.337598114308e-05,7.168799057154e-03,3.210164391921e-04,0.044779668,6.847782617962e-03,7.489815496346e-03,139.493378462,6.246467126,96.689441988,4.329721077,0.020000
420.0,3.120000000000e-03,3.000000000000e-04,4.084721953181e-03,8.169443906362e-05,7.204721953181e-03,3.109243981644e-04,0.043155642,6.893797555017e-03,7.515646351345e-03,138.797861527,5.989910762,96.207346385,4.151889756,0.020000
422.0,3.220000000000e-03,2.900000000000e-04,4.002780971318e-03,8.005561942636e-05,7.222780971318e-03,3.008469747259e-04,0.041652513,6.921933996592e-03,7.523627946044e-03,138.450827177,5.766824810,95.966800504,3.997258358,0.020000
424.0,3.310000000000e-03,2.900000000000e-04,3.922910298468e-03,7.845820596936e-05,7.232910298468e-03,3.004258478958e-04,0.041535957,6.932484450572e-03,7.533336146364e-03,138.256933756,5.742633993,95.832403826,3.980490562,0.020000
426.0,3.440000000000e-03,3.000000000000e-04,3.845046515327e-03,7.690093030654e-05,7.285046515327e-03,3.096994560570e-04,0.042511665,6.975347059270e-03,7.594745971384e-03,137.267483179,5.835469243,95.146568948,4.044839053,0.020000
