distance_m,best_wavelength_nm,minimum_attenuation_per_m,maximum_transmittance,minimum_path_loss_db
0.0,416.0,7.135080595916e-03,1.000000000000e+00,0.000000000
2.0,416.0,7.135080595916e-03,9.858311749580e-01,0.061974523
4.0,416.0,7.135080595916e-03,9.718631055190e-01,0.123949045
6.0,416.0,7.135080595916e-03,9.580929472122e-01,0.185923568
8.0,416.0,7.135080595916e-03,9.445178958691e-01,0.247898090
10.0,416.0,7.135080595916e-03,9.311351870535e-01,0.309872613
12.0,416.0,7.135080595916e-03,9.179420954977e-01,0.371847136
14.0,416.0,7.135080595916e-03,9.049359345479e-01,0.433821658
16.0,416.0,7.135080595916e-03,8.921140556170e-01,0.495796181
18.0,416.0,7.135080595916e-03,8.794738476455e-01,0.557770704
20.0,416.0,7.135080595916e-03,8.670127365692e-01,0.619745226
22.0,416.0,7.135080595916e-03,8.547281847955e-01,0.681719749
24.0,416.0,7.135080595916e-03,8.426176906867e-01,0.743694271
26.0,416.0,7.135080595916e-03,8.306787880500e-01,0.805668794
28.0,416.0,7.135080595916e-03,8.189090456360e-01,0.867643317
30.0,416.0,7.135080595916e-03,8.073060666431e-01,0.929617839
32.0,416.0,7.135080595916e-03,7.958674882295e-01,0.991592362
34.0,416.0,7.135080595916e-03,7.845909810321e-01,1.053566884
36.0,416.0,7.135080595916e-03,7.734742486923e-01,1.115541407
38.0,416.0,7.135080595916e-03,7.625150273881e-01,1.177515930
40.0,416.0,7.135080595916e-03,7.517110853731e-01,1.239490452
42.0,416.0,7.135080595916e-03,7.410602225223e-01,1.301464975
44.0,416.0,7.135080595916e-03,7.305602698838e-01,1.363439498
46.0,416.0,7.135080595916e-03,7.202090892372e-01,1.425414020
48.0,416.0,7.135080595916e-03,7.100045726581e-01,1.487388543
50.0,416.0,7.135080595916e-03,6.999446420891e-01,1.549363065
52.0,416.0,7.135080595916e-03,6.900272489162e-01,1.611337588
54.0,416.0,7.135080595916e-03,6.802503735521e-01,1.673312111
