wavelength_nm,temperature_c,depolarization_ratio,beta_90_per_m_sr,scattering_coefficient_per_m
350.0,20.0,0.039,5.479643199180e-04,9.008916548890e-03
351.0,20.0,0.039,5.411116102187e-04,8.896253210108e-03
352.0,20.0,0.039,5.343682525666e-04,8.785387695441e-03
353.0,20.0,0.039,5.277321053408e-04,8.676284795141e-03
354.0,20.0,0.039,5.212010769254e-04,8.568910121584e-03
355.0,20.0,0.039,5.147731243506e-04,8.463230086914e-03
356.0,20.0,0.039,5.084462519742e-04,8.359211881379e-03
357.0,20.0,0.039,5.022185102053e-04,8.256823452345e-03
358.0,20.0,0.039,4.960879942670e-04,8.156033483943e-03
359.0,20.0,0.039,4.900528429964e-04,8.056811377356e-03
360.0,20.0,0.039,4.841112376822e-04,7.959127231698e-03
361.0,20.0,0.039,4.782614009371e-04,7.862951825480e-03
362.0,20.0,0.039,4.725015956046e-04,7.768256598633e-03
363.0,20.0,0.039,4.668301236988e-04,7.675013635084e-03
364.0,20.0,0.039,4.612453253763e-04,7.583195645845e-03
365.0,20.0,0.039,4.557455779386e-04,7.492775952617e-03
366.0,20.0,0.039,4.503292948642e-04,7.403728471881e-03
367.0,20.0,0.039,4.449949248703e-04,7.316027699460e-03
368.0,20.0,0.039,4.397409510013e-04,7.229648695544e-03
369.0,20.0,0.039,4.345658897448e-04,7.144567070153e-03
370.0,20.0,0.039,4.294682901736e-04,7.060758969027e-03
371.0,20.0,0.039,4.244467331124e-04,6.978201059935e-03
372.0,20.0,0.039,4.194998303296e-04,6.896870519376e-03
373.0,20.0,0.039,4.146262237517e-04,6.816745019673e-03
374.0,20.0,0.039,4.098245847011e-04,6.737802716440e-03
375.0,20.0,0.039,4.050936131561e-04,6.660022236406e-03
376.0,20.0,0.039,4.004320370309e-04,6.583382665596e-03
377.0,20.0,0.039,3.958386114782e-04,6.507863537847e-03
378.0,20.0,0.039,3.913121182099e-04,6.433444823652e-03
379.0,20.0,0.039,3.868513648383e-04,6.360106919322e-03
380.0,20.0,0.039,3.824551842353e-04,6.287830636457e-03
381.0,20.0,0.039,3.781224339101e-04,6.216597191709e-03
382.0,20.0,0.039,3.738519954043e-04,6.146388196839e-03
383.0,20.0,0.039,3.696427737038e-04,6.077185649051e-03
384.0,20.0,0.039,3.654936966675e-04,6.008971921594e-03
385.0,20.0,0.039,3.614037144714e-04,5.941729754628e-03
386.0,20.0,0.039,3.573717990685e-04,5.875442246342e-03
387.0,20.0,0.039,3.533969436636e-04,5.810092844319e-03
388.0,20.0,0.039,3.494781622024e-04,5.745665337136e-03
389.0,20.0,0.039,3.456144888746e-04,5.682143846199e-03
390.0,20.0,0.039,3.418049776312e-04,5.619512817796e-03
391.0,20.0,0.039,3.380487017136e-04,5.557757015373e-03
392.0,20.0,0.039,3.343447531972e-04,5.496861512011e-03
