wavelength_nm,absorption_per_m,absorption_uncertainty_per_m,molecular_scattering_per_m,attenuation_per_m,absorption_fraction,scattering_fraction,model_temperature_c,depolarization_ratio
350.0,8.900000000000e-04,3.300000000000e-04,8.999596205244e-03,9.889596205244e-03,0.089993563,0.910006437,23.0,0.039
352.0,9.400000000000e-04,3.600000000000e-04,8.776301458359e-03,9.716301458359e-03,0.096744631,0.903255369,23.0,0.039
354.0,9.700000000000e-04,3.400000000000e-04,8.560050616577e-03,9.530050616577e-03,0.101783300,0.898216700,23.0,0.039
356.0,9.800000000000e-04,3.200000000000e-04,8.350572014292e-03,9.330572014292e-03,0.105031074,0.894968926,23.0,0.039
358.0,9.900000000000e-04,3.100000000000e-04,8.147606428434e-03,9.137606428434e-03,0.108343471,0.891656529,23.0,0.039
360.0,1.060000000000e-03,3.300000000000e-04,7.950906417364e-03,9.010906417364e-03,0.117635225,0.882364775,23.0,0.039
362.0,1.150000000000e-03,3.500000000000e-04,7.760235699738e-03,8.910235699738e-03,0.129065048,0.870934952,23.0,0.039
364.0,1.200000000000e-03,3.500000000000e-04,7.575368570623e-03,8.775368570623e-03,0.136746393,0.863253607,23.0,0.039
366.0,1.210000000000e-03,3.200000000000e-04,7.396089352376e-03,8.606089352376e-03,0.140598122,0.859401878,23.0,0.039
368.0,1.220000000000e-03,3.200000000000e-04,7.222191877956e-03,8.442191877956e-03,0.144512233,0.855487767,23.0,0.039
370.0,1.240000000000e-03,3.300000000000e-04,7.053479004540e-03,8.293479004540e-03,0.149515059,0.850484941,23.0,0.039
372.0,1.270000000000e-03,3.400000000000e-04,6.889762155435e-03,8.159762155435e-03,0.155641791,0.844358209,23.0,0.039
374.0,1.290000000000e-03,3.300000000000e-04,6.730860888458e-03,8.020860888458e-03,0.160830616,0.839169384,23.0,0.039
376.0,1.330000000000e-03,3.100000000000e-04,6.576602489062e-03,7.906602489062e-03,0.168213844,0.831786156,23.0,0.039
378.0,1.370000000000e-03,2.900000000000e-04,6.426821586622e-03,7.796821586622e-03,0.175712627,0.824287373,23.0,0.039
