distance_m,wavelength_nm,attenuation_per_m,attenuation_uncertainty_per_m,transmittance,transmittance_uncertainty,transmittance_lower,transmittance_upper,path_loss_db,path_loss_uncertainty_db,path_loss_lower_db,path_loss_upper_db
0.0,350.0,9.889596205244e-03,3.758950554915e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,352.0,9.716301458359e-03,4.005114067230e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,354.0,9.530050616577e-03,3.806701808959e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,356.0,9.330572014292e-03,3.609609690622e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,358.0,9.137606428434e-03,3.502190688770e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,360.0,9.010906417364e-03,3.663151172735e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,362.0,8.910235699738e-03,3.828687807150e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,364.0,8.775368570623e-03,3.813849545962e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,366.0,8.606089352376e-03,3.525348990998e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,368.0,8.442191877956e-03,3.510897637483e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,370.0,8.293479004540e-03,3.588880416328e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,372.0,8.159762155435e-03,3.668617301156e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,374.0,8.020860888458e-03,3.564011718835e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,376.0,7.906602489062e-03,3.367501746394e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,378.0,7.796821586622e-03,3.172091018280e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,380.0,7.711359792400e-03,3.160414408533e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,382.0,7.610065357832e-03,3.057452551380e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,384.0,7.512792851830e-03,3.138684578112e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,386.0,7.419402855952e-03,3.128577247795e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,388.0,7.359761676293e-03,3.305721489180e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,390.0,7.313741071094e-03,3.203211443619e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,392.0,7.241217993107e-03,3.100990003517e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,394.0,7.222074345802e-03,2.999061071581e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,396.0,7.216196752604e-03,2.990836701006e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,398.0,7.223476338366e-03,2.982987420981e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,400.0,7.253808522356e-03,2.881591423084e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,402.0,7.297092822081e-03,2.874204193702e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,404.0,7.303232667298e-03,2.961510245553e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,406.0,7.292135223641e-03,3.049908595813e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,408.0,7.213711225286e-03,3.234988132867e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,410.0,7.187874816150e-03,3.325667754606e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,412.0,7.144543399123e-03,3.032590807601e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,414.0,7.143637492892e-03,3.027323482350e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,416.0,7.135080595916e-03,3.118369515486e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,418.0,7.168799057154e-03,3.210164391921e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,420.0,7.204721953181e-03,3.109243981644e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,422.0,7.222780971318e-03,3.008469747259e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,424.0,7.232910298468e-03,3.004258478958e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,426.0,7.285046515327e-03,3.096994560570e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,428.0,7.349128495696e-03,3.190337471912e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,430.0,7.455097310597e-03,3.186871469857e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,432.0,7.572896136960e-03,3.476350824754e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,434.0,7.722470170618e-03,3.669441615904e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,436.0,7.903766543389e-03,3.863348958243e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,438.0,8.216734244034e-03,3.664282046428e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,440.0,8.571324042880e-03,3.858659730219e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,442.0,9.027488419921e-03,4.053677738110e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,444.0,9.485181496220e-03,5.041435492728e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,446.0,1.007435896844e-02,5.735026303972e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,448.0,1.061497804633e-02,5.534946751932e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,450.0,1.112699739305e-02,5.235586664790e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,452.0,1.141037706817e-02,4.440461034667e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
