distance_m,wavelength_nm,attenuation_per_m,optical_depth,transmittance,path_loss_db
0.0,350.0,9.889596205244e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,352.0,9.716301458359e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,354.0,9.530050616577e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,356.0,9.330572014292e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,358.0,9.137606428434e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,360.0,9.010906417364e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,362.0,8.910235699738e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,364.0,8.775368570623e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,366.0,8.606089352376e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,368.0,8.442191877956e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,370.0,8.293479004540e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,372.0,8.159762155435e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,374.0,8.020860888458e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,376.0,7.906602489062e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,378.0,7.796821586622e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,380.0,7.711359792400e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,382.0,7.610065357832e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,384.0,7.512792851830e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,386.0,7.419402855952e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,388.0,7.359761676293e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,390.0,7.313741071094e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,392.0,7.241217993107e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,394.0,7.222074345802e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,396.0,7.216196752604e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,398.0,7.223476338366e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,400.0,7.253808522356e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,402.0,7.297092822081e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,404.0,7.303232667298e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,406.0,7.292135223641e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,408.0,7.213711225286e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,410.0,7.187874816150e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,412.0,7.144543399123e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,414.0,7.143637492892e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,416.0,7.135080595916e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,418.0,7.168799057154e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,420.0,7.204721953181e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,422.0,7.222780971318e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,424.0,7.232910298468e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,426.0,7.285046515327e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,428.0,7.349128495696e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,430.0,7.455097310597e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,432.0,7.572896136960e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,434.0,7.722470170618e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,436.0,7.903766543389e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,438.0,8.216734244034e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,440.0,8.571324042880e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,442.0,9.027488419921e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,444.0,9.485181496220e-03,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,446.0,1.007435896844e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,448.0,1.061497804633e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,450.0,1.112699739305e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,452.0,1.141037706817e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,454.0,1.156507847319e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,456.0,1.165106429946e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,458.0,1.175829847849e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,460.0,1.186674613428e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,462.0,1.205637353789e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,464.0,1.222714806386e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,466.0,1.241903814858e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,468.0,1.257201325038e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,470.0,1.283604381141e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,472.0,1.314110122105e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,474.0,1.344715778091e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,476.0,1.378418667130e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,478.0,1.413216191905e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,480.0,1.446105836676e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,482.0,1.482085164323e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,484.0,1.518151813511e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,486.0,1.556303495983e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,488.0,1.607537993942e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,490.0,1.672853157561e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,492.0,1.754246902578e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,494.0,1.853717207993e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,496.0,1.976262113856e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,498.0,2.124879719143e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,500.0,2.268568179718e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,502.0,2.434325706370e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,504.0,2.613150562929e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,506.0,2.854041064458e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,508.0,3.153995575512e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,510.0,3.480012508463e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,512.0,3.746090321893e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,514.0,3.912227519045e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,516.0,3.992422646334e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,518.0,4.046674291916e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,520.0,4.082981084306e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,522.0,4.125341691052e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,524.0,4.177754817459e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,526.0,4.246219205357e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,528.0,4.317733631914e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,530.0,4.395296908500e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,532.0,4.480907879581e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,534.0,4.584565421664e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,536.0,4.687268442274e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,538.0,4.789015878967e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,540.0,4.895806698389e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,542.0,5.021639895350e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,544.0,5.177514491951e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,546.0,5.359429536727e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,548.0,5.558384103828e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
0.0,550.0,5.760377292229e-02,0.000000000000e+00,1.000000000000e+00,0.000000000
2.0,350.0,9.889596205244e-03,1.977919241049e-02,9.804151325101e-01,0.085899941
2.0,352.0,9.716301458359e-03,1.943260291672e-02,9.807549929872e-01,0.084394722
2.0,354.0,9.530050616577e-03,1.906010123315e-02,9.811203939252e-01,0.082776968
2.0,356.0,9.330572014292e-03,1.866114402858e-02,9.815118970663e-01,0.081044319
2.0,358.0,9.137606428434e-03,1.827521285687e-02,9.818907662067e-01,0.079368241
2.0,360.0,9.010906417364e-03,1.802181283473e-02,9.821396088757e-01,0.078267739
2.0,362.0,8.910235699738e-03,1.782047139948e-02,9.823373741827e-01,0.077393324
2.0,364.0,8.775368570623e-03,1.755073714125e-02,9.826023799646e-01,0.076221883
2.0,366.0,8.606089352376e-03,1.721217870475e-02,9.829351046102e-01,0.074751542
2.0,368.0,8.442191877956e-03,1.688438375591e-02,9.832573585863e-01,0.073327947
2.0,370.0,8.293479004540e-03,1.658695800908e-02,9.835498481353e-01,0.072036243
2.0,372.0,8.159762155435e-03,1.631952431087e-02,9.838129176838e-01,0.070874794
2.0,374.0,8.020860888458e-03,1.604172177692e-02,9.840862613713e-01,0.069668312
2.0,376.0,7.906602489062e-03,1.581320497812e-02,9.843111673099e-01,0.068675877
2.0,378.0,7.796821586622e-03,1.559364317324e-02,9.845273081736e-01,0.067722332
2.0,380.0,7.711359792400e-03,1.542271958480e-02,9.846956014963e-01,0.066980020
2.0,382.0,7.610065357832e-03,1.522013071566e-02,9.848951100731e-01,0.066100188
2.0,384.0,7.512792851830e-03,1.502558570366e-02,9.850867351433e-01,0.065255290
2.0,386.0,7.419402855952e-03,1.483880571190e-02,9.852707468199e-01,0.064444114
2.0,388.0,7.359761676293e-03,1.471952335259e-02,9.853882792488e-01,0.063926078
2.0,390.0,7.313741071094e-03,1.462748214219e-02,9.854789797528e-01,0.063526348
2.0,392.0,7.241217993107e-03,1.448243598621e-02,9.856219300575e-01,0.062896420
2.0,394.0,7.222074345802e-03,1.444414869160e-02,9.856596675772e-01,0.062730141
2.0,396.0,7.216196752604e-03,1.443239350521e-02,9.856712542584e-01,0.062679089
2.0,398.0,7.223476338366e-03,1.444695267673e-02,9.856569038060e-01,0.062742318
2.0,400.0,7.253808522356e-03,1.450761704471e-02,9.855971113665e-01,0.063005780
2.0,402.0,7.297092822081e-03,1.459418564416e-02,9.855117932980e-01,0.063381743
2.0,404.0,7.303232667298e-03,1.460646533460e-02,9.854996915925e-01,0.063435073
2.0,406.0,7.292135223641e-03,1.458427044728e-02,9.855215648899e-01,0.063338682
2.0,408.0,7.213711225286e-03,1.442742245057e-02,9.856761540962e-01,0.062657500
2.0,410.0,7.187874816150e-03,1.437574963230e-02,9.857270880769e-01,0.062433087
2.0,412.0,7.144543399123e-03,1.428908679825e-02,9.858125176817e-01,0.062056715
2.0,414.0,7.143637492892e-03,1.428727498578e-02,9.858143037908e-01,0.062048847
2.0,416.0,7.135080595916e-03,1.427016119183e-02,9.858311749580e-01,0.061974523
2.0,418.0,7.168799057154e-03,1.433759811431e-02,9.857646957791e-01,0.062267397
