distance_m,beam_radius_m,geometric_collection_efficiency,water_transmittance,received_power_w,signal_current_a,background_current_a,shot_noise_variance_a2,thermal_noise_variance_a2,total_noise_variance_a2,noise_rms_current_a,snr_linear,snr_db
0.0,1.000000000000e-02,1.000000000000e+00,1.000000000000e+00,8.000000000000e-02,2.400000000000e-02,3.000000000000e-10,7.690448259766e-13,1.656778800000e-15,7.707016047766e-13,8.778961241380e-07,7.473709622896e+08,8.873536220136e+01
2.0,2.000008333417e-02,1.000000000000e+00,9.858311366997e-01,7.886649093597e-02,2.365994728079e-02,3.000000000000e-10,7.581483355557e-13,1.656778800000e-15,7.598051143557e-13,8.716680069589e-07,7.367588013731e+08,8.867325332666e+01
4.0,3.000016666833e-02,6.944367283822e-01,9.718630300866e-01,5.399179064392e-02,1.619753719317e-02,3.000000000000e-10,5.190263540416e-13,1.656778800000e-15,5.206831328416e-13,7.215837670303e-07,5.038769158748e+08,8.702324462468e+01
6.0,4.000025000250e-02,3.906201171844e-01,9.580928356667e-01,2.994002685934e-02,8.982008057801e-03,3.000000000000e-10,2.878153103888e-13,1.656778800000e-15,2.894720891888e-13,5.380261045607e-07,2.787020640798e+08,8.445140185129e+01
8.0,5.000033333667e-02,2.499966666667e-01,9.445177492491e-01,1.889010311358e-02,5.667030934075e-03,3.000000000000e-10,1.815917325912e-13,1.656778800000e-15,1.832485113912e-13,4.280753571408e-07,1.752551186580e+08,8.243670711218e+01
10.0,6.000041667083e-02,1.736086998467e-01,9.311350063753e-01,1.293225102708e-02,3.879675308125e-03,3.000000000000e-10,1.243185441803e-13,1.656778800000e-15,1.259753229803e-13,3.549300254702e-07,1.194827696439e+08,8.077305281116e+01
12.0,7.000050000500e-02,1.275491982520e-01,9.179418817558e-01,9.366620084793e-03,2.809986025438e-03,3.000000000000e-10,9.004192069305e-14,1.656778800000e-15,9.169869949305e-14,3.028179312608e-07,8.610832549216e+07,7.935045143794e+01
14.0,8.000058333917e-02,9.765482584769e-02,9.049356887156e-01,7.069706966790e-03,2.120912090037e-03,3.000000000000e-10,6.796155752510e-14,1.656778800000e-15,6.961833632510e-14,2.638528687074e-07,6.461326614671e+07,7.810321694819e+01
16.0,9.000066667333e-02,7.715935071000e-02,8.921137786466e-01,5.506793593585e-03,1.652038078076e-03,3.000000000000e-10,5.293717780001e-14,1.656778800000e-15,5.459395660001e-14,2.336534968709e-07,4.999142728210e+07,7.698895536270e+01
18.0,1.000007500075e-01,6.249906250117e-02,8.794735404686e-01,4.397301741910e-03,1.319190522573e-03,3.000000000000e-10,4.227156627781e-14,1.656778800000e-15,4.392834507781e-14,2.095908993201e-07,3.961596167040e+07,7.597870202812e+01
20.0,1.100008333417e-01,5.165210994347e-02,8.670124000975e-01,3.582641584975e-03,1.074792475492e-03,3.000000000000e-10,3.444018946925e-14,1.656778800000e-15,3.609696826925e-14,1.899920215937e-07,3.200210213662e+07,7.505178506956e+01
22.0,1.200009166758e-01,4.340211468075e-02,8.547278199208e-01,2.967759588882e-03,8.903278766647e-04,3.000000000000e-10,2.852929206841e-14,1.656778800000e-15,3.018607086841e-14,1.737413907750e-07,2.625991741097e+07,7.419293355873e+01
24.0,1.300010000100e-01,3.698167956392e-02,8.426172982814e-01,2.492912233604e-03,7.478736700813e-04,3.000000000000e-10,2.396455604435e-14,1.656778800000e-15,2.562133484435e-14,1.600666575035e-07,2.183005022176e+07,7.339054734839e+01
26.0,1.400010833442e-01,3.188726160186e-02,8.306783689675e-01,2.119044676662e-03,6.357134029986e-04,3.000000000000e-10,2.037054486069e-14,1.656778800000e-15,2.202732366069e-14,1.484160492019e-07,1.834682855608e+07,7.263561002668e+01
28.0,1.500011666783e-01,2.777734567973e-02,8.189086007111e-01,1.819768582565e-03,5.459305747694e-04,3.000000000000e-10,1.749358587023e-14,1.656778800000e-15,1.915036467023e-14,1.383848426318e-07,1.556316015911e+07,7.192097786761e+01
30.0,1.600012500125e-01,2.441368103093e-02,8.073055966922e-01,1.576744106570e-03,4.730232319710e-04,3.000000000000e-10,1.515737704866e-14,1.656778800000e-15,1.681415584866e-14,1.296694098415e-07,1.330729773164e+07,7.124089873703e+01
32.0,1.700013333467e-01,2.162595834241e-02,7.958669940511e-01,1.376910916756e-03,4.130732750268e-04,3.000000000000e-10,1.323636864415e-14,1.656778800000e-15,1.489314744415e-14,1.220374837669e-07,1.145691541571e+07,7.059067706789e+01
34.0,1.800014166808e-01,1.928981981651e-02,7.845904634071e-01,1.210768693510e-03,3.632306080529e-04,3.000000000000e-10,1.163923351611e-14,1.656778800000e-15,1.329601231611e-14,1.153083358483e-07,9.923010861431e+06,6.996643466721e+01
36.0,1.900015000150e-01,1.731274602762e-02,7.734737083844e-01,1.071276309784e-03,3.213828929352e-04,3.000000000000e-10,1.029828488916e-14,1.656778800000e-15,1.195506368916e-14,1.093392138675e-07,8.639599633845e+06,6.936493617382e+01
38.0,2.000015833492e-01,1.562475260463e-02,7.625144651439e-01,9.531279900260e-04,2.859383970078e-04,3.000000000000e-10,9.162518025579e-15,1.656778800000e-15,1.081929682558e-14,1.040158489153e-07,7.556939069284e+06,6.878345920566e+01
40.0,2.100016666833e-01,1.417211064363e-02,7.517105019228e-01,8.522659524181e-04,2.556797857254e-04,3.000000000000e-10,8.192925226101e-15,1.656778800000e-15,9.849704026101e-15,9.924567510023e-08,6.636966212931e+06,6.821969606767e+01
42.0,2.200017500175e-01,1.291301770325e-02,7.410596185796e-01,7.655452779107e-04,2.296635833732e-04,3.000000000000e-10,7.359274195818e-15,1.656778800000e-15,9.016052995818e-15,9.495289882788e-08,5.850160990878e+06,6.767167817619e+01
44.0,2.300018333517e-01,1.181455645088e-02,7.305596461466e-01,6.904990544105e-04,2.071497163231e-04,3.000000000000e-10,6.637850361246e-15,1.656778800000e-15,8.294629161246e-15,9.107485471438e-08,5.173348215885e+06,6.713771711571e+01
46.0,2.400019166858e-01,1.085052113508e-02,7.202084463876e-01,6.251709575356e-04,1.875512872607e-04,3.000000000000e-10,6.009847459106e-15,1.656778800000e-15,7.666626259106e-15,8.755927283336e-08,4.588130967172e+06,6.661635806245e+01
48.0,2.500020000200e-01,9.999840000320e-03,7.100039113630e-01,5.679940410585e-04,1.703982123175e-04,3.000000000000e-10,5.460202341603e-15,1.656778800000e-15,7.116981141603e-15,8.436220209077e-08,4.079756596696e+06,6.610634253319e+01
50.0,2.600020833542e-01,9.245413964417e-03,6.999439630002e-01,5.177017351865e-04,1.553105205560e-04,3.000000000000e-10,4.976739397575e-15,1.656778800000e-15,6.633518197575e-15,8.144641304302e-08,3.636284257753e+06,6.560657825801e+01
52.0,2.700021666883e-01,8.573250605710e-03,6.900265526706e-01,4.732616448511e-04,1.419784934553e-04,3.000000000000e-10,4.549534151485e-15,1.656778800000e-15,6.206312951485e-15,7.878015582293e-08,3.247965863375e+06,6.511611456091e+01
54.0,2.800022500225e-01,7.971810655329e-03,6.802496607722e-01,4.338257195222e-04,1.301477158567e-04,3.000000000000e-10,4.170434242873e-15,1.656778800000e-15,5.827213042873e-15,7.633618436150e-08,2.906780276967e+06,6.463412204764e+01
