distance_m,received_power_w,signal_current_a,snr_db,theoretical_ber
0.0,8.000000000000e-02,2.400000000000e-02,8.873536220136e+01,0.000000000000e+00
2.0,7.886649093597e-02,2.365994728079e-02,8.867325332666e+01,0.000000000000e+00
4.0,5.399179064392e-02,1.619753719317e-02,8.702324462468e+01,0.000000000000e+00
6.0,2.994002685934e-02,8.982008057801e-03,8.445140185129e+01,0.000000000000e+00
8.0,1.889010311358e-02,5.667030934075e-03,8.243670711218e+01,0.000000000000e+00
10.0,1.293225102708e-02,3.879675308125e-03,8.077305281116e+01,0.000000000000e+00
12.0,9.366620084793e-03,2.809986025438e-03,7.935045143794e+01,0.000000000000e+00
14.0,7.069706966790e-03,2.120912090037e-03,7.810321694819e+01,0.000000000000e+00
16.0,5.506793593585e-03,1.652038078076e-03,7.698895536270e+01,0.000000000000e+00
18.0,4.397301741910e-03,1.319190522573e-03,7.597870202812e+01,0.000000000000e+00
20.0,3.582641584975e-03,1.074792475492e-03,7.505178506956e+01,0.000000000000e+00
22.0,2.967759588882e-03,8.903278766647e-04,7.419293355873e+01,0.000000000000e+00
24.0,2.492912233604e-03,7.478736700813e-04,7.339054734839e+01,0.000000000000e+00
26.0,2.119044676662e-03,6.357134029986e-04,7.263561002668e+01,0.000000000000e+00
28.0,1.819768582565e-03,5.459305747694e-04,7.192097786761e+01,0.000000000000e+00
30.0,1.576744106570e-03,4.730232319710e-04,7.124089873703e+01,0.000000000000e+00
32.0,1.376910916756e-03,4.130732750268e-04,7.059067706789e+01,0.000000000000e+00
34.0,1.210768693510e-03,3.632306080529e-04,6.996643466721e+01,0.000000000000e+00
36.0,1.071276309784e-03,3.213828929352e-04,6.936493617382e+01,0.000000000000e+00
38.0,9.531279900260e-04,2.859383970078e-04,6.878345920566e+01,0.000000000000e+00
40.0,8.522659524181e-04,2.556797857254e-04,6.821969606767e+01,0.000000000000e+00
42.0,7.655452779107e-04,2.296635833732e-04,6.767167817619e+01,0.000000000000e+00
44.0,6.904990544105e-04,2.071497163231e-04,6.713771711571e+01,0.000000000000e+00
46.0,6.251709575356e-04,1.875512872607e-04,6.661635806245e+01,0.000000000000e+00
48.0,5.679940410585e-04,1.703982123175e-04,6.610634253319e+01,0.000000000000e+00
50.0,5.177017351865e-04,1.553105205560e-04,6.560657825801e+01,0.000000000000e+00
52.0,4.732616448511e-04,1.419784934553e-04,6.511611456091e+01,0.000000000000e+00
54.0,4.338257195222e-04,1.301477158567e-04,6.463412204764e+01,0.000000000000e+00
56.0,3.986923334690e-04,1.196077000407e-04,6.415987569810e+01,0.000000000000e+00
58.0,3.672771363039e-04,1.101831408912e-04,6.369274067756e+01,0.000000000000e+00
60.0,3.390904341829e-04,1.017271302549e-04,6.323216034067e+01,0.000000000000e+00
62.0,3.137194847250e-04,9.411584541749e-05,6.277764602085e+01,0.000000000000e+00
64.0,2.908145249793e-04,8.724435749378e-05,6.232876828655e+01,0.000000000000e+00
66.0,2.700776611707e-04,8.102329835120e-05,6.188514941366e+01,0.000000000000e+00
68.0,2.512539709069e-04,7.537619127207e-05,6.144645687423e+01,0.000000000000e+00
70.0,2.341243294500e-04,7.023729883501e-05,6.101239768178e+01,0.000000000000e+00
72.0,2.184995894974e-04,6.554987684921e-05,6.058271346354e+01,0.000000000000e+00
74.0,2.042158310255e-04,6.126474930766e-05,6.015717615412e+01,0.000000000000e+00
76.0,1.911304627140e-04,5.733913881421e-05,5.973558422361e+01,0.000000000000e+00
78.0,1.791190053117e-04,5.373570159351e-05,5.931775936813e+01,0.000000000000e+00
80.0,1.680724243345e-04,5.042172730034e-05,5.890354360209e+01,0.000000000000e+00
82.0,1.578949077500e-04,4.736847232500e-05,5.849279670152e+01,0.000000000000e+00
84.0,1.485020060419e-04,4.455060181256e-05,5.808539395472e+01,0.000000000000e+00
86.0,1.398190688730e-04,4.194572066190e-05,5.768122418322e+01,0.000000000000e+00
88.0,1.317799256741e-04,3.953397770224e-05,5.728018800083e+01,0.000000000000e+00
90.0,1.243257677566e-04,3.729773032698e-05,5.688219628281e+01,0.000000000000e+00
92.0,1.174041976459e-04,3.522125929378e-05,5.648716882081e+01,0.000000000000e+00
94.0,1.109684177494e-04,3.329052532483e-05,5.609503314221e+01,0.000000000000e+00
96.0,1.049765355840e-04,3.149296067521e-05,5.570572347477e+01,0.000000000000e+00
98.0,9.939096688435e-05,2.981729006531e-05,5.531917984026e+01,0.000000000000e+00
100.0,9.417792120422e-05,2.825337636127e-05,5.493534726181e+01,0.000000000000e+00
102.0,8.930695728649e-05,2.679208718595e-05,5.455417507230e+01,0.000000000000e+00
104.0,8.475059763721e-05,2.542517929116e-05,5.417561631170e+01,0.000000000000e+00
106.0,8.048399350082e-05,2.414519805025e-05,5.379962720322e+01,0.000000000000e+00
108.0,7.648463287526e-05,2.294538986258e-05,5.342616669886e+01,0.000000000000e+00
110.0,7.273208538979e-05,2.181962561694e-05,5.305519608614e+01,0.000000000000e+00
112.0,6.920777884560e-05,2.076233365368e-05,5.268667864867e+01,0.000000000000e+00
114.0,6.589480302753e-05,1.976844090826e-05,5.232057937396e+01,0.000000000000e+00
116.0,6.277773706673e-05,1.883332112002e-05,5.195686470274e+01,0.000000000000e+00
118.0,5.984249719375e-05,1.795274915813e-05,5.159550231451e+01,0.000000000000e+00
120.0,5.707620218923e-05,1.712286065677e-05,5.123646094486e+01,0.000000000000e+00
122.0,5.446705423161e-05,1.634011626948e-05,5.087971023033e+01,0.000000000000e+00
