distance_m,received_power_w,photon_energy_j,bit_duration_s,mean_received_photons_per_bit,detector_efficiency,mean_detected_photons_per_bit
0.0,0.08000000000000002,4.775110233531078e-19,5e-08,8376769968.391069,0.8941168156240403,7489810889.352916
2.0,0.0788664909359748,4.775110233531078e-19,5e-08,8258080659.81075,0.8941168156240403,7383688782.716462
4.0,0.05399179064391574,4.775110233531078e-19,5e-08,5653460130.070141,0.8941168156240403,5054853768.755787
6.0,0.02994002685933546,4.775110233531078e-19,5e-08,3135008973.10129,0.8941168156240403,2803064239.982118
8.0,0.018890103113582062,4.775110233531078e-19,5e-08,1977975605.7708104,0.8941168156240403,1768541250.0138292
10.0,0.01293225102708341,4.775110233531078e-19,5e-08,1354131150.3420858,0.8941168156240403,1210751432.0811844
12.0,0.00936662008479291,4.775110233531078e-19,5e-08,980775272.8952731,0.8941168156240403,876927663.8439207
14.0,0.007069706966790145,4.775110233531078e-19,5e-08,740266362.5591599,0.8941168156240403,661884602.8049873
16.0,0.00550679359358539,4.775110233531078e-19,5e-08,576614289.9609303,0.8941168156240403,515560532.7831841
18.0,0.004397301741909923,4.775110233531078e-19,5e-08,460439814.66980976,0.8941168156240403,411686980.8790936
20.0,0.0035826415849746058,4.775110233531078e-19,5e-08,375137055.4565532,0.8941168156240403,335416349.4473924
22.0,0.002967759588882461,4.775110233531078e-19,5e-08,310752992.4694403,0.8941168156240403,277849476.0724173
24.0,0.0024929122336043107,4.775110233531078e-19,5e-08,261031904.1536411,0.8941168156240403,233393014.9181333
26.0,0.0021190446766620736,4.775110233531078e-19,5e-08,221884372.61427274,0.8941168156240403,198390548.67861158
28.0,0.0018197685825646715,4.775110233531078e-19,5e-08,190547285.14811653,0.8941168156240403,170371531.82243994
30.0,0.0015767441065701342,4.775110233531078e-19,5e-08,165100283.49692884,0.8941168156240403,147618939.7389003
32.0,0.0013769109167559763,4.775110233531078e-19,5e-08,144175825.20789096,0.8941168156240403,128910029.7248477
34.0,0.0012107686935097985,4.775110233531078e-19,5e-08,126779135.38076213,0.8941168156240403,113355356.81421614
36.0,0.0010712763097840852,4.775110233531078e-19,5e-08,112172940.24560165,0.8941168156240403,100295712.13158311
38.0,0.0009531279900260365,4.775110233531078e-19,5e-08,99801674.03603806,0.8941168156240403,89234354.98305081
40.0,0.000852265952418086,4.775110233531078e-19,5e-08,89240447.94122542,0.8941168156240403,79791385.13807142
42.0,0.0007655452779106744,4.775110233531078e-19,5e-08,80159958.66807164,0.8941168156240403,71672366.98485091
44.0,0.0006904990544104846,4.775110233531078e-19,5e-08,72301896.77735221,0.8941168156240403,64646341.71014422
46.0,0.0006251709575355885,4.775110233531078e-19,5e-08,65461416.277430065,0.8941168156240403,58530153.06821549
48.0,0.0005679940410584987,4.775110233531078e-19,5e-08,59474442.81704894,0.8941168156240403,53177099.42259388
50.0,0.0005177017351865045,4.775110233531078e-19,5e-08,54208354.34867821,0.8941168156240403,48468601.17045976
52.0,0.00047326164485109336,4.775110233531078e-19,5e-08,49555049.17224998,0.8941168156240403,44308002.76398489
54.0,0.0004338257195221957,4.775110233531078e-19,5e-08,45425728.23511469,0.8941168156240403,40615907.47698381
